,index,walk_id,title,summary,lat,lng
413,413,24,Run around the oval,Take the main driveway around the oval.,-36.62727343,142.63620905
414,414,25,"Spurling House, 38 Black St (1888)","The Spurling House is the only known Melbourne design by Sydney based architect John Horbury Hunt, who was a figure of controversy in his time due to his innovative and daring new designs.",-37.91487297,144.99731441
415,415,25,7 Bleazby Ave (2005). John Tallis,"The philosophy behind the corrugated iron is that it wraps the inside spaces, as if protecting the family, with the timber-clad forms inside this metal skin.",-37.91320663,144.99899898
416,416,25,"Heazelwood, 66 Wilson Street (1891)","Built as a residence for Brighton's Health Officer, Cornelius Casey M.D., Heazelwood was one of many Victorian era houses in the Brighton area to adopt elements of the Queen Anne style.",-37.91376506,145.00238374
417,417,25,"26 Halifax St, Brighton (1878)","Robert Wright, a successful miner from the Ballarat goldfields, built the first stage of this house, then became bankrupt the next year.",-37.91710926,145.00063775
418,418,25,166-168 Church St (1890),"Rrumoured to be built for two sisters, there are only a few two-storey semi-detached residences in Brighton and these are  a sophisticated example of the Italianate style.",-37.91722896,144.9981493
419,419,25,161 Church St (1885),"Built by successful Melbourne stationer Alfred Harston as a family residence, the house features a tower with
a 'widow's walk' (the topmost lookout).",-37.91649798,144.9973118
420,420,25,167 Church St (1886),"Calabria's asymmetrical facade is emphasised by a two- storey cast-iron verandah containing Gothic motifs in its lacework. From 1900-07, Emma A'Beckett (1838-1906) lived in this grand house.",-37.91665806,144.99749521
421,421,25,76-90 Church St (1888-89),"Munro's Buildings consist of seven two-storey rendered brick shops, with a central laneway.  The original shop fronts have all been altered, but the facades of the upper level remain intact.",-37.9144912,144.99504851
422,422,25,71-73 Church St (1912),"Brighton\'s former post office uses bold chromatic brickwork; the distinctive stucco and brick porch is unusual, with its strong position on the corner.",-37.914223,144.99479
423,423,25,"Former Congregational Church, 17 Black St (1875)",The former Congregational Church is a superb example of an Early English-inspired Gothic church expressed in bichromatic brick. Designed by Charles Webb and built by James Bonham.,-37.91291029,144.99508527
424,424,25,58 Carpenter St (pre 1859),"The first Brighton rate books are dated 1859, and no. 58 was already firmly established as a house and brewery. It is one of the few houses remaining that pre-date the rate books.",-37.9124535,144.99727649
425,425,25,37 Black St,"Wyuna, one of Brighton's stunning villas, features a wealth of decorative detail, a return verandah, and projecting bay windows on two sides.",-37.91417096,144.99652298
426,426,26,Yolinko Reserve,"The Boardwalk meanders through some wonderful wetlands.  Along the way you will be seneraded by the frogs in chorus.
",-38.16733768,144.32937377
427,427,26,Wetlands,"The wetlands in the evening sunlight.  Magical.
",-38.16545851,144.32769622
428,428,26,Rowing on the river,"The river has a long history with rowing from the late 1800s to the present day.
",-38.16741296,144.32873865
429,429,26,Birdlife,"Keep an eye out for Purple Swamphens.  They are primarily waders and feed mostly on young shoots of reeds and other aquatic plants.
",-38.16642317,144.32881655
430,430,26,The Edge Cafe,"Entrance to the Edge Cafe.  A good spot to have some lunch on route.  It can also be used as the start/end point of the walk.
",-38.1611525,144.32401889
431,431,26, Walking along the river,"Walkers enjoying a well maintained paved pathway surrounded by flora on both sides of the path.
",-38.16024228,144.32349182
432,432,26,The Barwon River,"The Barwon River rises in the Otway Ranges of Victoria, Australia, runs through Winchelsea and the city of Geelong, where it is joined by the Moorabool River, and enters the sea at Barwon Heads",-38.15887924,144.32288043
433,433,26,Canoe Crossing,"Watch out for the canoes at this junction.  But don't worry, they are usually accompanied by their owners.
",-38.15620434,144.32157382
434,434,26,Picnic Spot,"An excellent covered lunch spot by the riverside.
",-38.15604353,144.32149506
435,435,26,Ducks by the river,"Along this section you might spot Australian Wood Ducks searching for lunch on the banks of the river. It's short bill with serrated cutting edges is great for grazing.
",-38.15544918,144.32120397
436,436,26,Boardwalk,"The boardwalk near Queens Bridge.  Great views of the river, the bridge and the riverside vegetation.",-38.1507358,144.32422188
437,437,26,Queens Bridge,"The bridge was first the site of a punt, with a wooden cattle crossing not being built until 1861.The bridge collapsed in the 1870 flood, with a new wooden bridge opened in 1872.
",-38.14988133,144.32463759
438,438,26,The present Queens Bridge,"The present Queens Bridge
The current one lane steel bridge was built in 1930, a water main and footpath being added to the side in 1963
",-38.1497021,144.32471227
439,439,26,Shared cycle/pedestrian path,The path is a shared cycle/pedestrian path.,-38.15168142,144.3222214
440,440,26,Darter bird,If the sun is out you might spot a Darter bird drying it's wings on the banks of the river.,-38.15213283,144.32163974
441,441,27,Playground,"The playground is built on a large mound, giving it a ""volcano"" theme. It is modern and well designed, with swings, slides and shade sails, BBQ, toilets, and fitness equipment.",-37.75091789,144.75874007
442,442,27,Snakes,"Being on the creek, there are reptiles! Snakes are shy creatures that will avoid you if they can. If you see one, don't disturb it and it will leave you alone. They are also protected under law.",-37.75091365,144.75848123
443,443,27,Panoramic Views,Enjoy sweeping views from the top of the mound across the Keilor Plains to Mt Macedon and Gisborne.,-37.75066976,144.75759611
444,444,27,Birds,"There are always interesting birds to be seen here. Flame Robins, Whistling Kites, Pipits are among the frequent visitors. This is a Willy-Wagtail that stopped to see what we were doing.",-37.75042163,144.75760147
445,445,27,Kororoit Creek,Rises near Gisborne and enters Port Phillip Bay at Altona. It flows through the volcanic plains and has areas of great beauty.,-37.74981933,144.75762159
446,446,27,The Special Tree,"This magnificent River Red Gum would be at least 500 years old. It sits on a bend of the creek, on a rocky escarpment, above a pool in remnant grassland and it is the most magical place here.",-37.74776106,144.75947969
447,447,27,Cultural Heritage,"People have been visiting here for thousands of years. The nearby Maribyrnong has sites dated to possibly 45,000 years, and here probably as long! ",-37.74772607,144.75941397
448,448,27,Kororoit Creek 2,"Beautiful.
",-37.74721176,144.75934021
449,449,27,Crossing,There are several places where you can cross and walk around in the grassland on the opposite bank. It is weedier but you can still find patches of remnant vegetation.   ,-37.74679925,144.75935832
450,450,27,Waterbirds ,"There are plenty of waterbirds, but please don't feed them bread. It doesn't agree with them.",-37.74596785,144.75954607
451,451,27,Path,"North of the playground the path is ""informal"" and can be rocky and muddy. ",-37.74564972,144.75961313
452,452,27,The Upper Path,"The upper path takes you along the top of the escarpment and past peoples back (or some times , front)  fences. ",-37.74180651,144.76149201
453,453,27,The Grassland Reserve,"Grasslands are critically endangered. This area is being cared for by weed control, burning and revegetation. In Spring it is a mass of  wildflowers. Cup Day would be a good day to come for a look.",-37.74806328,144.75995243
454,454,28,wide gravel track through the bush,easy walking for little kids,-37.96202472,144.41037809
455,455,28,walking track crosses road,be aware that the track does cross over a road here. It is rare to come across traffic but  kids need to be warned before approaching this intersection,-37.95891707,144.40860725
456,456,28,dogs are allowed,you can take dogs to the You Yangs if they remain on the lead,-37.95662254,144.40949268
457,457,28,woodfire bBQs,a great place for a sausage sizzle or just to toast marshmallows for the kids!,-37.95532569,144.41430788
458,458,28,Cubby Houses,come and play in the cubbies that other people have made or come and make your own,-37.95540033,144.41346811
459,459,28,nature's playground,"these boulders are great fun for kids to climb, explore and use their imaginations",-37.95539451,144.41377006
460,460,28,nature's playground,"a great place to explore , climb and learn",-37.95533532,144.4140093
461,461,29,Turtle,If you look closely you will see a turtle sitting in the middle of the pond.,-37.78222229,144.95175719
462,462,29,Lakeside Bistro,The Lakeside Bistro offers a great view of the Japanese Garden.,-37.78312111,144.95366693
463,463,29,Japanese Garden,The Japanese Garden is a peaceful place to rest or have your lunch in the shelter overlooking the waterfall.,-37.78329918,144.95393515
464,464,29,Tamarin,Tamarins are very cute and fascinating to watch as they interact with each other. In the wild they are classified as ‘critically endangered’.,-37.78418951,144.95452523
465,465,29,Meerkat lookout,Stay a while at the meerkat enclosure. It is fascinating to watch the furry creatures stand up on their hind legs as lookouts then scramble underground to burrow. They never stop still!,-37.78481697,144.95367765
466,466,29,Giant tortoise,Aldabra Giant Tortoises are classed as ‘vulnerable’ on the endangered list and are currently protected but suffer from poaching and loss of traditional habitat in the wild.,-37.78453716,144.95401025
467,467,29,Lemurs,Lemur Island hosts the irresistible ring-tailed lemurs in a new exhibit.,-37.78594469,144.95240092
468,468,29,Pygmy hippopotamus,"Hippopotamus means ‘river horse’ but their closest relatives are actually whales and dolphins!
",-37.78645343,144.95170355
469,469,29,Pelicans,The pelican's long beak and large throat pouch is used for catching prey and draining water from the scooped up contents.,-37.78537659,144.9510169
470,470,29,Butterfly House,"The Butterfly House is a fascinating place to study all shapes, sizes and colours of the flighty creatures. If you have the right colour on they may land on you.",-37.78578359,144.95042682
471,471,29,Elephants,The two baby elephants at the zoo are very playful.,-37.7853342,144.95007277
472,472,29,Orang-utans,It is hard to know who is observing whom at the orang-utan enclosure. They seem as interested in us as we are in their comical behaviour.,-37.78484665,144.95122612
473,473,29,Giraffes,The giraffe is the tallest living terrestrial animal and the largest ruminant. ,-37.78435061,144.95123148
474,474,29,Zebra,Each zebra's stripes are as unique as fingerprints—no two are exactly alike.,-37.7844566,144.95079696
475,475,29,Great Flight Aviary,The stately Jabirus in the Great Flight Aviary make a handsome couple.,-37.78445236,144.95023906
476,476,29,Wombat,"Wombats are solid and stocky, have short legs and large front feet and bear-like claws.",-37.78431246,144.94913936
477,477,29,Emus,"Emus cannot fly but they can run up to 40-50km per hour. 
",-37.78382066,144.94920373
478,478,29,Baboon,The baboons' custom-built enclosure recreates the environment of the north-east African savannah.,-37.78293033,144.94981527
479,479,29,Tapir,"Tapirs look something like pigs with trunks, but they are actually related to horses and rhinoceroses.",-37.78266746,144.9501425
480,480,29,Peccary,Peccaries are the only native wild species of pigs.,-37.78237068,144.95050728
481,481,30,churchill national park,"Main picnic area: this popular picnic area was created in the late 1970s, with shelters, toilets, and powered barbecues. It is sometimes crowded on weekends, but much  quieter on week days",-37.95137197,145.25140285
482,482,30,bellbird corner,"This aqueduct was created by horse power in the 1930s to feed nearby Lysterfield reservoir. This gully is one of the more moist spots upon this level, easy section of this walk",-37.94788635,145.25410652
483,483,30,where aqueducts meet,"This siphon marks the point where a second aqueduct from a spring in the hills to the north fed into the main aqueduct. We can't follow the aqueduct here, but pick it up a little further on",-37.94832629,145.24706841
484,484,30,The upper aqueduct,"The northern aqueduct is more overgrown, but the west embankment provides a reasonably clear course for the short distance of 250 metres. There are fine views to the north and west",-37.94599118,145.24835587
485,485,30,Dandenong Shire  quarry,"This disused quarry only operated from 1913 to 1917, and provided Dandenong Shire Council with road metal via a narrow gauge 3 km horse-drawn tramway thru the Police Paddocks to Stud Road",-37.94453593,145.25135994
486,486,30,crest of the range,"The actual summit is slightly north of the track on private property, but even from the fence line there are excellent views in the direction of the city, and also wildlife in the mornings and evening",-37.94446825,145.25500774
487,487,30,stonemasons track,"The name of this track is literal. Beside the trail can be seen evidence of small scale quarrying, and the brick remains of buildings where the stonemasons lived and worked more than 100 years ago",-37.95032291,145.2624321
488,488,30,flagpole,"This rusty flagpole is a link to Australia's darkest hour. In 1941, a military camp was hurriedly set up here to stop a Japanese invasion of Melbourne. Its commander, Col. George Knox, had it moved",-37.955365,145.26299
489,489,30,Back on the aqueduct,"This is the east end of the main aqueduct we picked up 5 km earlier. The flat walking trail is an easy return route to the main picnic area, though there is much traffic noise from the nearby road",-37.95749678,145.25822639
490,490,31,Centenary Park ,Access the start/ finish of the Cherry Walk from Centenary Park. Just a short walk from the town centre.  ,-36.72524958,146.96314324
491,491,31,Swimming in the Ovens,"You can also take some time to enjoy the lovely river, or use the waterslide or diving board. ",-36.72512647,146.96372509
492,492,31,Big4Bright Holiday park,The path continues along the back of the Big4 Holiday Park on Mountbatten Ave. ,-36.72464666,146.96550111
493,493,31,Bright Memorial Arboretum,This is a wonderful park and garden area with a variety of plants and trees. Great spot to picnic. There are some lovely vistas over the river and across the valley.,-36.7246094,146.97112426
494,494,31,Arboretum sign,This sign tells more about the types of trees in the Arboretum. Have a quick read. ,-36.72576281,146.97103679
495,495,31,Arboretum entrance,"This is another good spot from which to access this walk. And note, there are free ""poop bags""available to assist in cleaning up after your dog.  ",-36.72654516,146.97123131
496,496,31,Bridge across the Ovens,Find this bridge to cross the Ovens and return via the north side of the river. It is easy to find and well marked from the walking path. ,-36.72351809,146.97111094
497,497,31,Back Germantown Rd back to the walking path,Continue along the road until you see the river path access again. Easy to find. ,-36.72409737,146.96570281
498,498,31,Bridge at Centenary Park ,At this point you can cross the bridge to return to the starting point or continue along the well marked Cherry Walk route. ,-36.72490946,146.96243254
499,499,32,Tirhatuan Park,"The park forms part of the Dandenong Creek vegetation corridor, providing important habitat for our native flora and fauna.",-37.94617006,145.22288122
500,500,32,The path around the lake ,The two lakes in the park are home to many species of birds and natural vegetation.  ,-37.94738967,145.22475771
501,501,32,Boardwalk,Stop here for a spot of wildlife watching.,-37.94803863,145.22434473
502,502,32,Water Kites,This sculpture was selected by local residents to celebrate the parks many uses and to complement its natural beauty.      ,-37.9486647,145.22451639
503,503,32,Another Playground,This park boasts two playgrounds!,-37.95020447,145.22341132
504,504,32,The jetty,Its special to be so close to the water birds.,-37.947318,145.22298974
505,505,32,Purple swamp Hen,The birds also enjoy a stroll in the sunshine.  Imagine walking with those big toes!,-37.94741256,145.22310019
506,506,32,Wetland Birds,The Pacific Black Duck and white domestic duck soaking it up.    ,-37.9470822,145.22289902
507,507,32,Playground,"Designed and created with input from local residents and primary school students, it looks really fun!",-37.94622191,145.22272953
508,508,33,Anderson to Kilcunda,Start of the Walk,-38.52641303,145.44816971
509,509,33,Bass Strait,Cape Woolamai is in the distance.,-38.52936745,145.44988632
510,510,33,Bass Coast Rail Trail,Bass Coast Rail Trail,-38.5347388,145.46121597
511,511,33,Mitchell Coal Mine Mullock Heap,The remains of the Mitchell Coal Mine,-38.54333213,145.46533585
512,512,33,Black Head,Near Kilcunda,-38.55105182,145.47044277
513,513,33,Interesting Rock Formation        ,Near Kilcunda,-38.55568324,145.48048496
514,514,33,Hooded Plovers,A pair of Hooded Plovers,-38.57105204,145.50065517
515,515,33,Bass Coast Rail Trail,Wooden Trestle Bridge,-38.55534764,145.48237324
516,516,33,Mob of Kangaroos,Near Bass Coast Rail Trail,-38.56165666,145.49606323
517,517,33,Kilcunda Coastal Reserve,Kilcunda Coastal Reserve,-38.56588473,145.49511909
518,518,34,Beautiful semi-rural surrounds,The scenery quickly changes after stepping off the Princes Highway to become a beautiful and tranquil semi-rural setting. ,-38.057725,145.46619636
519,519,34,Cross the road here,At this point the ‘new’ path stops – to continue you need to cross the road and head north along the footpath on the other side of Toomuc Valley Road.,-38.05919617,145.46638683
520,520,34,Tranquil Toomuc Creek,The Toomuc Creek is a lovely little meandering creek which starts up near the Cardinia Reservoir. ,-38.05992798,145.46624498
521,521,34,There are lots of seats along the way,There are many nice spots to rest those weary legs.,-38.06069628,145.46590165
522,522,34,Underneath the canopy,It is great to be hidden from the busy streetscape under the native tree canopy.,-38.06144412,145.4660715
523,523,34,So many birds of all shapes and sizes,If you stop and look up you will be amazed just how many birds there are to see!,-38.06219667,145.46564622
524,524,34,First half of the walk is along a nice new concrete path,First half of the walk is along a nice new concrete path.,-38.06289142,145.46494933
525,525,34,Welcome to the Community Greenhouse Corridor ,"The walk starts right next to the Princes Highway, or it can be an extension of the Toomuc Creek Trail existing south of the highway.",-38.06404307,145.46398625
526,526,34,"The path is a mix of grass, concrete and gravel","The path is a mix of grass, concrete and gravel. The first half of the walk is a concrete path and well suited to prams and wheelchairs.",-38.0541678,145.46850598
527,527,34,Careful crossing the side strees,"There are a number of side streets that need to be crossed, make sure you look both ways!",-38.05615536,145.46725747
528,528,35,Tick Bush,"First stop. Look for the tick bush, an evergreen shrub. Its flowers usually  appear from September to December. Did they flower earlier? Check it out",-35.27792723,149.10771132
529,529,35,Flannel Flower,"Out of the track, you will have the chance to observe the Actinotus Helianthi. Don't forget to upload the pictures you take on the ClimateWatch app. ",-35.27769493,149.10960227
530,530,35,Gymea Lily,"Continuing on the path, you are going to see  a giant tussock-like, rosette plant.  They can reach 5m high with the flower stalk.!",-35.27546603,149.10650432
531,531,35,White Cedar,"The White Cedar is one of only a few native Australian plants that are seasonally deciduous, although many species drop their leaves during droughts. ",-35.27330256,149.10749137
532,532,35,Fuchsia Heath,"Fuchsia Heath's flowers are long and tubular, some of them have pink-red tubed and white lobes, others are white. Spot them! ",-35.27151569,149.10800099
533,533,35,Red Spider Flower,"You might ask what is this? It's not a spider. It is a bright red, occasionally pink flower. Its spider appearance  explains its name. Keep recording for ClimateWatch app!",-35.27137554,149.10660625
534,534,35,Frogs,Listen for frogs. The link below will help you to recognize them and to catalouge them. Have fun!,-35.2742135,149.10362363
535,535,35,Silky Oak,This giant tree is just past the cafe. Silky Oaks aren't related to other oak trees at all but are actually a species of Grevilla and are very popular with birds!,-35.27524706,149.10295844
536,536,35,Firewheel Tree,This beautiful native tree on your righ has striking red flowers. Are they out today?,-35.2759828,149.10392404
537,537,36,Braybrook Community Hub,"This state of the art Hub features a new library, community centre and spaces, community health services, maternal and child health services, early years centre, Men's Shed and  optometry services.",-37.78641952,144.8539263
538,538,36,Braybrook Park,"Braybrook Park offers the community a peaceful place to walk and take in some fresh air.  Take friends and family, kick the footy or enjoy a picnic on the grass.",-37.78619059,144.85501528
539,539,36,Paul Sadler Swimland Braybrook,"Paul Sadler Swimland has received many awards in Australia and USA, including the induction of Paul Sadler into the Australian Swim Coaches and Teachers' Association Hall of Fame. Call while it's hot!",-37.78439724,144.850941
540,540,36,Kinder Smith Playground,"Kinder Smith Reserve has been given a face lift, with a new concrete walking path around the oval, and fresh landscaping. The local young children will love this exciting new playground!",-37.78392665,144.85054136
541,541,36, RecWest Braybrook  ,"At RecWest Braybrook there is something for everyone in the community.
Owned by the Maribyrnong City Council and managed by YMCA Victoria, RecWest offers sport-based activities and programs for all.",-37.78474914,144.84891057
542,542,36,GreenWORKS! Mural,"The GreenWORKS! project, a successful council and community collaboration, provides a strong connection between the built environment, the natural world and the place the Braybrook locals call home.",-37.78323983,144.84865308
543,543,36, Kinder Smith Reserve,"Are you a team player? Kinder Smith Reserve is home to Sunshine Football Club, Sunshine YCW Cricket Club and RecWest Braybrook. Contact RecWest for enquiries about netball, basketball or futsal.",-37.78373586,144.84940946
544,544,36,Blue Bamboo Vietnamese Restaurant and Cafe,Try a selection of delicious dishes from the menu and discover the tropical paradise out the back. You will want to go back for more!,-37.78568608,144.85345423
545,545,37,Regulations,The Conglomerate Gully Flora Reserve has its own set of legislative regulations!  They ar eposted on a sign near the start of the walk.,-37.45693967,144.65166479
546,546,37,Information board,"An information board near the start of the walk gives a summary of the history, ecology and geology of the reserve.",-37.455758,144.6512508
547,547,37,Hollow tree,This hollow tree stands by the side of the path.  Great for hide and seek.,-37.45458487,144.65069938
548,548,37,Fallen log,"In a number of places, particularly this part of the walk, large fallen logs or trees are a feature.  They make good seats for adults and excellent play equipment for children!",-37.45335711,144.64975796
549,549,37,Hut,This interesting hut provides shelter - and curiosity.,-37.45256643,144.64863472
550,550,37,Lookout,"The track starts to climb alongside a small gorge, with a stream flowing through it after rain or at wetter times of the year.  A lookout provides this view down the gorge.",-37.45247831,144.64801311
551,551,37,Climbing,"The climb starts to get steep in this area, but that only adds to the sense of accomplishment.  Keep an eye on any under 5s though.",-37.45133304,144.64771542
552,552,37,A taste of NT,"At times the landscape in this area is reminiscent of the northern territory, with woodland on the rocky escarpment.",-37.45013791,144.64713984
553,553,37,Cascades,"The stream falls down the gorge, with a series of small waterfalls after rain.  The wetter it has been, the better they are. Unfortunately, was dry at the time of our visit.",-37.44972056,144.64646151
554,554,37,Pools,"Even at the driest times, small pools remain in the streambed.  They appear to harbour life, but I'm not an entymologist.",-37.44927096,144.64573489
555,555,37,Clearing,"At the highest point in the walk, you reach a clearing next to the stream above one of the waterfalls. ",-37.44831638,144.64643575
556,556,37,Burnt tree,"Old burnt trees and stumps are a reminder that this area has high risk of bushfire.  In the summer, check the fire risk for the day before visiting.  Do not come on a day of total fire ban.",-37.44927696,144.6479739
557,557,37,Rocks and lichen,"In this area particularly, rocks with coloured lichen will reward those who look carefully.",-37.44950722,144.64869902
558,558,37,It's only grass,Native grass dominates at ground level in Conglomerate Gully.,-37.44954668,144.6498344
559,559,37,Waves of grass,At times the native grass seems to be rolling down the hill in waves.,-37.44986258,144.65141609
560,560,37,Native forest,"The interplay of native trees, grass and fallen logs is perhaps the defining feature of this walk.",-37.45074914,144.65176247
561,561,37,Wildlife,"Wildlife on this walk is not used to humans and will typically move away from you - making it difficult to photograph!  Thanks to digital enhancement, you can make out this currawong.",-37.45419578,144.65163083
562,562,38,Water Tower,"The Water Tower is one of a few peppered around the district. Built in 1957, the tower provides water pressure for thousands of homes across the urban area and has the capacity to store 2.7 megalitres",-34.18973711,142.16118303
563,563,38,158 Orange Avenue,"The building is now the Guide Hall, but originally was home to the Seventh Day Adventists, and  following that the Lutheran Church. The Church outgrew the site in 1966 when two congregations merged.",-34.19087108,142.15983654
564,564,38,“Valetta” 223 Eleventh St,Built 1891 and believed to be designed by D.T. Edmunds who supervised construction of Rio Vista.  Valetta is on the corner of Henderson Place and two pillars at its entrance mark the little street. ,-34.19177622,142.16019818
565,565,38,Mildura Primary Schoo,"Opened on September 13, 1890 with 300 eager students, despite the building not yet being complete. A year later, once all works were finished, Mildura Primary was official opened.",-34.19349164,142.16243636
566,566,38,Proudfoot House,"Built 1891 for John Proudfoot who owned a produce store in Mildura. This fine example of a late Victorian brick house was later the Presbyterian Manse for many years, before moving into private hands.",-34.19083491,142.16559736
567,567,38,Magnolia Avenue,There are still a number of attractive homes in this street but sadly many have been lost.,-34.19006737,142.16490557
568,568,38,Lemon Avenue ,Few streets in Mildura have retained their identity as well as Lemon Ave. This area was the tradesmen’s class and 3 of the houses along Lemon Avenue predate 1900 and another 14 are pre World War I,-34.19199513,142.1606702
569,569,38,50 Lemon Ave,"A good example of the simple Edwardian Style. Currently a backpackers’ hostel, but its original owner was A.C Pugsley, who commissioned the home in 1902.",-34.18792545,142.16537323
570,570,38,Kathleen Kelly Kindergarten,"Originally started down by the river, Kathleen Kelly Kindergarten was founded by 
Kathleen Kelly  (a member of the Bowring family) as a free kindergarten for children.",-34.18756198,142.16560399
571,571,38,Mildura Settlers Club,"The ‘Setts’ as it’s commonly referred to, has been on this site since 1893. A prominent club until 1993, the 'Setts' is now  a modern office space,  popular bar, restaurant and function centre .",-34.18686476,142.16475175
572,572,38,77 Orange Avenue,Original Methodist Parsonage and was designed by William Sheridan and built in 1892. It’s an unusual example of a Tudoresque Victorian brick villa.,-34.18799797,142.16331038
573,573,39,Tea Tree tunnel,A little after the start of the track is some beautifully gnarled Tea Trees that make the path look like a bit like a tunnel.,-39.02948335,146.31729145
574,574,39,Tidal River footbridge,"From the path you can see the Tidal River footbridge. Cross the bridge to go to the tracks to Squeaky, Mt Bishop or other great walks.",-39.02887949,146.31857853
575,575,39,First seat,The is the first of a few seats that have been installed long the track. wonderful to sit and watch for a while.,-39.02894671,146.31962163
576,576,39,Hello wombat,If you take the walk at dusk you have a reasonable chance of coming across a wombat. Please don't feed the animals!,-39.02899855,146.32027797
577,577,39,The Boadwalk,From here on the track is a Boardwalk until the last little bit.,-39.02892636,146.32245385
578,578,39,The first viewing platform,There are three viewing platforms along the track that often used by people fishing. ,-39.02857361,146.32278219
579,579,39,The bend,The boardwalk gets very close to the river at the first bend.,-39.0276448,146.3231427
580,580,39,To Mt Obernon,Fantastic view to My Oberon and the third viewing platform along the river.,-39.02771243,146.32341109
581,581,39,View from the last platform ,Great view up the river from the final viewing platform.,-39.02810848,146.3235113
582,582,39,Away from the river,The quietest spot of the walk as you head away from the river.,-39.02841201,146.32408589
583,583,39,Banksia stump,"Love this gnarly old stump, wonder what animals live inside?",-39.02850021,146.32417649
584,584,39,Picnic tables,Two picnic tables can be found next the boardwalk. ,-39.02863177,146.324053
585,585,39,Oh dear!,"Unfortunately the Prom is being invaded by some pests, including feral deer that come to the river to drink. ",-39.02916467,146.32322179
586,586,39,Back into Tea Tree,The final section of the boardwalk goes through a relatively youngish planting of Tea Trees.,-39.02951279,146.32292622
587,587,40,Start at Coomoora Woodland on Serpentine Road,There are many ways to access Coomoora Woodland. It's even on the walking/cycle trail along the Dandenong Bypass. This suburban street is a quieter access point.,-37.98561023,145.15359879
588,588,40,Choose your own adventure!,"There are paths in Coomoora Woodland but none are signposted. It's not a huge reserve, so don't worry about getting lost. Instead, look up and take in the sounds of the birdlife above.",-37.98551727,145.15316564
589,589,40,Home to endangered species,"Coomoora Woodland is home to a number of threatened and endangered species; the swift parrot, grey-headed flying fox and growling grass frog have all been spotted here.",-37.98517723,145.15150724
590,590,40,Short cut,There's a path along the back fences of houses that's good for bikes and short cuts. It takes you from the Serpentine Road entrance to the Coomoora Reserve sports ovals.,-37.98475954,145.15043163
591,591,40,Sporting ovals,"If you fancy a run around, there's an oval here that's perfect for playing in. Cross the oval to reach Coomoora Road.",-37.98430037,145.14926648
592,592,40,Dandenong Bypass walking/cycling pathway,"It's harder to hear the birds from the Woodlands here, with the whoosh of traffic flying by. Continue a little further to get back to the peace and quiet.",-37.98320238,145.14838529
593,593,40,Coomoora Cricket Club,At the time of writing this building was still under construction (November 2015). It may offer public toilets and drinking fountains in the future. Stay tuned!,-37.98307336,145.14958084
594,594,40,Playground,Small people might like to stop for a play before leaving Coomoora Reserve and heading out into the suburb. There are also bench seats and picnic tables nearby.,-37.9830521,145.15032026
595,595,40,A detour through the suburbs,"Walk past the Keysborough Primary School and turn left onto Darren Road. You'll pass a milk bar along the way, if you need refreshments. Turn left at Harold Street.",-37.98052255,145.15608247
596,596,40,Alex Nelson Reserve,This sports ground and local reserve offers a playground and shade for sitting. There's a pavilion and ovals for sports fans to enjoy.,-37.97485697,145.15381228
597,597,40,A lovely path through Alex Wilkie area,Walk between the Alex Wilkie reserve lands. This public path will take you from Alex Nelson reserve to Mackay Street. Be sure to breathe in the scented bushland and look up for chattering birdlife.,-37.97367178,145.15397815
598,598,40, Alex Wilkie Nature Reserve entrance,"Enter the Alex Wilkie Nature Reserve here on Mackay Street. This educational and cultural nature reserve is open on Fridays (9-3pm) and every third Sunday (10-5pm). Note, it is closed June to August.",-37.97318303,145.15408756
599,599,40,Remnant bushland,The Alex Wilkie Nature Reserve is a parcel of land that was bought by the Springvale South Community Association in 1950. Since then it has been protected. Join the ranger for a guided  bush walk.,-37.97323224,145.15407654
600,600,40,Scented trail,"As you walk towards Mackay Street, take a breath in and smell the scented walk that's on your right. It's a separate trail in the Alex Wilkie nature reserve designed to engage all of the senses.",-37.97326505,145.1540692
601,601,40,Play in the nearby park,"As you walk towards Springvale Road, there's another lovely park tucked behind the Mackay Street Centre. This park takes you south into suburban streets.",-37.97301434,145.15183314
602,602,40,Where next?,"Walk or catch the 902 bus back to Coomoora Woodland, grab a bite to eat on Springvale Road or from the IGA, or cross Springvale Road and continue walking in Spring Valley Park on the other side.",-37.9730724,145.15092106
603,603,41,Belgrave Station Sign,Hop off at Belgrave station to begin your walk. Belgrave is a Zone 2 station easily accessible from the city.,-37.90960268,145.35510397
604,604,41,Puffing Billy,"If you're in luck, you might catch the Puffing Billy leaving the station! ",-37.90701929,145.35772754
605,605,41,Puffing Billy tracks,"Cross the train tracks, carefully of course and preferably not in the path of an oncoming steam train.",-37.90679939,145.35773074
606,606,41,National Parks sign,A sure sign that you're on the right path!,-37.90604527,145.36324939
607,607,41,Gate at start of Coles Ridge Track,Your walk in the Dandenongs starts here! The gate at the start of Coles Ridge Track leads you in the right direction. Don't forget to breathe in the fresh air.,-37.90599223,145.36351825
608,608,41,Coles Ridge Track,"The trees along this area are particularly scenic, particularly in the morning light.",-37.90573819,145.36368225
609,609,41,Lots of signs,No chance of getting lost in the woods with these many signs pointing you in the right direction.,-37.90535023,145.36383304
610,610,41,Walking along the track,More ferns and dappled sunlight on leaves.,-37.88622936,145.3709297
611,611,41,Beautiful views,Beautiful views all along the walk. A perfect spot to stop and see if you can hear the resident lyrebirds.,-37.89141154,145.3746996
