,index,osm_type,osm_id,lat,lng,name,full_name
693,693,way,149818793.0,-37.76255455,144.98080774127436,The Russian Orthodox Most Holy Mother of God Cathedral (and School),"The Russian Orthodox Most Holy Mother of God Cathedral (and School), 1/3-7, Albion Street, Brunswick East, Melbourne, City of Merri-bek, Victoria, 3057, Australia"
694,694,relation,14388327.0,-37.761146249999996,144.98231478968603,Brunswick Velodrome,"Brunswick Velodrome, Merri Creek Trail, Brunswick East, Melbourne, City of Merri-bek, Victoria, 3057, Australia"
695,695,,,,,,
696,696,,,,,,
697,697,,,,,,
698,698,,,,,,
699,699,,,,,,
700,700,,,,,,
701,701,,,,,,
702,702,,,,,,
703,703,way,237766793.0,-37.7328441,144.96778257201657,Coburg Lake Reserve,"Coburg Lake Reserve, Coburg North, Melbourne, City of Merri-bek, Victoria, Australia"
704,704,way,23146245.0,-37.843992,144.89436433718504,Newport Park,"Newport Park, Newport, Melbourne, City of Hobsons Bay, Victoria, 3015, Australia"
705,705,,,,,,
706,706,,,,,,
707,707,,,,,,
708,708,,,,,,
709,709,way,501296806.0,-37.84372235,144.89670841635268,HMAS Yarra (II) Memorial,"HMAS Yarra (II) Memorial, Newport, Melbourne, City of Hobsons Bay, Victoria, 3015, Australia"
710,710,,,,,,
711,711,,,,,,
712,712,way,23144072.0,-37.831446,144.8939100117801,Scienceworks,"Scienceworks, 2, Booker Street, Spotswood, Melbourne, City of Hobsons Bay, Victoria, 3015, Australia"
713,713,,,,,,
714,714,,,,,,
715,715,,,,,,
716,716,node,5404620593.0,-37.8266343,144.8951793,Stoney Creek Backwash,"Stoney Creek Backwash, Stoney Creek Reserve, Spotswood, Melbourne, City of Hobsons Bay, Victoria, 3013, Australia"
717,717,way,23144049.0,-37.82687695,144.896951807687,Stony Creek Backwash,"Stony Creek Backwash, Spotswood, Melbourne, City of Hobsons Bay, Victoria, Australia"
718,718,,,,,,
719,719,,,,,,
720,720,,,,,,
721,721,,,,,,
722,722,,,,,,
723,723,,,,,,
724,724,,,,,,
725,725,,,,,,
726,726,,,,,,
727,727,,,,,,
728,728,,,,,,
729,729,way,1009404233.0,-37.92556345,144.79480915872045,Point Cook Homestead,"Point Cook Homestead, Point Cook, Melbourne, City of Wyndham, Victoria, 3030, Australia"
730,730,,,,,,
731,731,,,,,,
732,732,,,,,,
733,733,,,,,,
734,734,,,,,,
735,735,,,,,,
736,736,,,,,,
737,737,,,,,,
738,738,,,,,,
739,739,,,,,,
740,740,,,,,,
741,741,,,,,,
742,742,,,,,,
743,743,,,,,,
744,744,,,,,,
745,745,,,,,,
746,746,,,,,,
747,747,,,,,,
748,748,,,,,,
749,749,,,,,,
750,750,,,,,,
751,751,,,,,,
752,752,node,4631113443.0,-28.6407722,153.6149425,Main Beach,"Main Beach, Byron Bay, Byron Shire Council, New South Wales, 2481, Australia"
753,753,,,,,,
754,754,,,,,,
755,755,,,,,,
756,756,node,3020491481.0,-28.63856,153.62114,Byron Bay,"Byron Bay, New South Wales, 2481, Australia"
757,757,,,,,,
758,758,,,,,,
759,759,,,,,,
760,760,,,,,,
761,761,,,,,,
762,762,,,,,,
763,763,,,,,,
764,764,,,,,,
765,765,,,,,,
766,766,,,,,,
767,767,,,,,,
768,768,,,,,,
769,769,way,307652489.0,-28.642072,153.6106293,Shirley Street,"Shirley Street, Byron Bay, Byron Shire Council, New South Wales, 2481, Australia"
770,770,,,,,,
771,771,,,,,,
772,772,,,,,,
773,773,,,,,,
774,774,,,,,,
775,775,,,,,,
776,776,,,,,,
777,777,,,,,,
778,778,,,,,,
779,779,,,,,,
780,780,,,,,,
781,781,,,,,,
782,782,,,,,,
783,783,,,,,,
784,784,,,,,,
785,785,,,,,,
786,786,node,11200195688.0,-38.4004969,142.4703347,Pickering Point,"Pickering Point, Warrnambool, City of Warrnambool, Victoria, 3280, Australia"
787,787,,,,,,
788,788,,,,,,
789,789,,,,,,
790,790,way,498556972.0,-38.3890149,142.4491621855049,Shelly Beach,"Shelly Beach, Warrnambool, City of Warrnambool, Victoria, 3280, Australia"
791,791,,,,,,
